original_trade_number,result,decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after,zone_id,zone_status_at_trigger,qualified_score,current_score,qualified_sources,zone_qualified_timestamp,zone_age_hours,zone_lower,zone_upper,zone_width,one_hour_atr,zone_width_atr,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,trigger_body_atr,trigger_range_atr,zone_penetration_fraction,trigger_below_zone_lower,trigger_breached_future_stop,entry_extension_atr,planned_risk_atr,same_bar_exit,holding_hours,entry_year,entry_weekday,entry_local_time
22,loss,2024-04-10T18:15:00Z,2024-04-10T18:15:00Z,2024-04-10T19:00:00Z,long,0,80,514.411436,512.5552417704795,516.2676302295205,512.5039862463025,stop,-152.59598029580047,0.8,-153.39598029580048,-1.0330006004774794,99868.58466466743,888,active,2,2,pivot|repeated_pivot,2024-04-10T17:00:00Z,1.25,512.67,513.48,0.8100000000000591,2.2951645904103524,0.3529158664195143,2024-04-10T18:00:00Z,513.78,514.55,513.21,514.37,0.2570621743055672,0.583836124693933,0.3333333333332866,False,False,0.40582536167196226,0.8087412280914583,False,0.75,2024,Wednesday,14:15
24,loss,2024-07-18T15:00:00Z,2024-07-18T15:00:00Z,2024-07-18T15:00:00Z,long,0,101,556.8956840000001,555.420531155762,558.3708368442382,555.3649891026464,stop,-154.60018463272058,1.01,-155.61018463272057,-1.044430686197419,99845.02686373281,965,active,2,2,pivot|repeated_pivot,2024-07-12T15:00:00Z,144.0,555.52,556.021486701079,0.5014867010789885,1.9893768847592959,0.25208230020208855,2024-07-18T14:45:00Z,556.25,557.68,555.63,556.87,0.3116553754845811,1.0304734189409233,0.7806522091945013,False,False,0.439432721682034,0.7415150218841422,True,0.0,2024,Thursday,11:00
25,loss,2024-09-03T15:30:00Z,2024-09-03T15:30:00Z,2024-09-03T16:45:00Z,long,0,93,556.445639,554.8428530776939,558.0484249223061,554.7873687923861,stop,-154.2191293080923,0.93,-155.1491293080923,-1.040856538853027,99689.87773442472,1001,touched,2,2,pivot|repeated_pivot,2024-08-29T15:00:00Z,120.5,554.98,556.03,1.0499999999999545,2.7429384461224506,0.38280115307883955,2024-09-03T15:15:00Z,556.37,556.77,555.95,556.38,0.0036457252674143618,0.29894947192822635,0.0761904761904102,False,False,0.15153056044244187,0.5843317135212737,False,1.25,2024,Tuesday,11:30
26,win,2024-11-20T15:30:00Z,2024-11-20T15:30:00Z,2024-11-20T16:45:00Z,long,0,74,585.778572,583.7601351532195,587.7970088467806,587.738229145896,target,145.01462879629685,0.74,144.27462879629684,0.9659242740270217,99834.15236322102,1078,active,2,2,pivot|repeated_pivot,2024-11-19T18:00:00Z,21.5,583.86,584.71,0.8500000000000227,1.9972969356093597,0.42557517855535804,2024-11-20T15:15:00Z,585.66,586.22,584.63,585.71,0.025033834032701603,0.7960759222388408,0.09411764705886916,False,False,0.5350090819991192,1.010584260554503,False,1.25,2024,Wednesday,10:30
27,loss,2025-01-07T16:00:00Z,2025-01-07T16:00:00Z,2025-01-07T17:45:00Z,long,0,43,593.509345,590.0384515570281,596.980238442972,589.9794477118725,stop,-151.7855833894862,0.43,-152.2155833894862,-1.019880715524519,99681.93677983154,1081,verified,3,4,pivot|repeated_pivot|role_flip,2025-01-02T19:00:00Z,117.0,590.18,591.13,0.9500000000000455,2.830968859437379,0.3355741610626005,2025-01-07T15:45:00Z,591.18,593.49,590.27,593.44,0.7983132673699747,1.1374197880226642,0.9052631578947079,False,False,0.840470212898394,1.2260443739609839,False,1.75,2025,Tuesday,11:00
33,win,2025-10-20T16:30:00Z,2025-10-20T16:30:00Z,2025-10-21T16:45:00Z,long,0,74,670.877081,668.8548393018217,672.8993226981783,672.8320327659085,target,144.6664306772293,0.74,143.9264306772293,0.9617800719175165,100521.61766489045,1351,verified,3,3,pivot|repeated_pivot|role_flip,2025-10-15T18:00:00Z,118.5,669.02,670.23,1.2100000000000364,3.3032139635660402,0.36630990706207855,2025-10-20T16:15:00Z,670.34,670.94,670.21,670.81,0.14228566637945464,0.22099688607877355,0.016528925619819182,False,False,0.19589436443935052,0.6122042715014234,False,24.25,2025,Monday,12:30
34,win,2025-10-22T18:45:00Z,2025-10-22T18:45:00Z,2025-10-22T19:30:00Z,long,0,79,665.996593,664.1072630156258,667.8859229843741,667.8191343920757,target,143.9807699739864,0.79,143.19076997398642,0.9593567069101326,100664.80843486443,1341,verified,3,4,pivot|repeated_pivot|role_flip,2025-10-13T20:00:00Z,214.75,664.24,665.28,1.0399999999999636,2.6547396874840383,0.39175215743491487,2025-10-22T18:30:00Z,665.65,666.36,665.05,665.95,0.11300543002933201,0.4934570444613265,0.22115384615387138,False,False,0.26992966706996485,0.7116818245048862,False,0.75,2025,Wednesday,14:45
35,loss,2025-12-04T17:45:00Z,2025-12-04T17:45:00Z,2025-12-04T19:15:00Z,long,0,145,684.258419,683.2225749146165,685.2942630853835,683.1542526571251,stop,-160.10411971686324,1.45,-161.55411971686323,-1.0756120140054186,100503.25431514757,1389,verified,2,3,pivot|repeated_pivot,2025-12-02T20:00:00Z,45.75,683.3319649060243,683.82,0.4880350939757818,2.18779982815576,0.22307118215069,2025-12-04T17:30:00Z,684.03,684.37,683.59,684.18,0.06856203116462538,0.3565225620560935,0.47127758400798875,False,False,0.2003926476077684,0.4734638297584357,False,1.5,2025,Thursday,12:45
37,loss,2026-02-04T17:00:00Z,2026-02-04T17:00:00Z,2026-02-04T17:15:00Z,long,0,54,686.6486580000001,683.8750074484938,689.4223085515064,683.8066199477489,stop,-153.47005482156237,0.54,-154.01005482156236,-1.0282614912330168,100189.65356813921,1433,active,3,3,pivot|repeated_pivot|role_flip,2026-02-04T16:00:00Z,1.0,684.03,685.13,1.1000000000000227,3.09985103012511,0.3548557621995231,2026-02-04T16:45:00Z,685.42,686.77,684.33,686.59,0.3774374925213266,0.7871345997879977,0.7272727272726709,False,False,0.48991322010038013,0.894768982299889,False,0.25,2026,Wednesday,12:00
39,loss,2026-02-25T16:30:00Z,2026-02-25T16:30:00Z,2026-02-26T15:00:00Z,long,0,60,691.5491480000001,689.0454145220291,694.052881477971,688.9765099805769,stop,-154.35828116538914,0.6,-154.95828116538914,-1.0315147527268471,100177.67221233502,1453,verified,3,3,pivot|repeated_pivot|role_flip,2026-02-23T15:30:00Z,49.0,689.18,690.6973876717896,1.5173876717896064,2.691709559417306,0.5637263747423352,2026-02-25T16:15:00Z,691.13,691.58,690.69,691.47,0.12631377661475263,0.3306448858444635,0.0048686778776769815,False,False,0.3164384230202346,0.9301647977625674,False,22.5,2026,Wednesday,11:30
40,win,2026-05-19T15:00:00Z,2026-05-19T15:00:00Z,2026-05-19T16:30:00Z,long,0,95,733.233316,731.6622340766535,734.8043979233464,734.7309174835541,target,142.27214093764417,0.9500000000000001,141.32214093764418,0.9468643623532356,100318.99435327266,1522,active,3,3,pivot|repeated_pivot|role_flip,2026-05-12T20:00:00Z,163.0,731.83,732.56,0.7299999999999045,3.355318466930781,0.21756504105187346,2026-05-19T14:45:00Z,732.76,733.18,731.53,733.16,0.11921372112432303,0.49175659963785373,1.4109589041097363,True,True,0.20067126463137308,0.4682363056832542,False,1.5,2026,Tuesday,11:00
41,win,2026-06-29T15:30:00Z,2026-06-29T15:30:00Z,2026-06-29T17:30:00Z,long,0,55,737.833776,735.1308344586504,740.5367175413495,740.4626638695954,target,144.58883282775105,0.55,144.03883282775104,0.9689028895119504,100463.03318610041,1523,verified,4,4,pivot|repeated_pivot|role_flip|volume_profile,2026-06-26T19:00:00Z,68.5,735.4,736.53,1.1299999999999955,5.38331082699146,0.20990799831476795,2026-06-29T15:15:00Z,737.48,737.82,736.33,737.77,0.05387019425776576,0.276781342910626,0.17699115044241823,False,False,0.242188504788345,0.5020965031031168,False,2.0,2026,Monday,11:30
42,loss,2026-07-13T15:00:00Z,2026-07-13T15:00:00Z,2026-07-13T16:30:00Z,long,0,48,752.815274,749.6906275977119,755.9399204022882,749.6156585349521,stop,-153.58154232230117,0.48,-154.06154232230116,-1.0271931770255935,100308.9716437781,1559,verified,3,5,order_block|pivot|repeated_pivot,2026-07-02T18:00:00Z,261.0,749.8038968563882,751.31,1.5061031436117673,2.2653851735249653,0.6648331423782798,2026-07-13T14:45:00Z,751.51,752.79,751.0,752.74,0.54295402582075,0.7901526066822019,0.20582919656919263,False,False,0.6644671367994679,1.3793002791777567,False,1.5,2026,Monday,11:00
